model,epoch,train_loss,train_acc,val_loss,val_acc,elapsed_min
resnet50,1,0.4799139158964157,0.8066375,0.42842233390808104,0.8345,2.033087650934855
resnet50,2,0.3668094155311584,0.8519875,0.3780136136054993,0.8537,3.936179788907369
resnet50,3,0.20646340086758136,0.9166125,0.16491415314674376,0.93725,6.570176168282827
resnet50,4,0.13152394590079786,0.9488875,0.11760430203080177,0.95515,8.623788058757782
resnet50,5,0.10300201977342367,0.9608375,0.09834285362362861,0.9628,10.674445164203643
resnet50,6,0.08379824186861515,0.968725,0.08693825061321259,0.96665,12.771856319904327
densenet121,1,0.4787653907775879,0.789375,0.5376243186950683,0.724,1.9077399849891663
densenet121,2,0.37307679084539414,0.8459,0.4994655379295349,0.76085,4.185076200962067
densenet121,3,0.18785660852491856,0.9254375,0.14664596259593965,0.9441,6.439688964684804
densenet121,4,0.11766813996136188,0.954575,0.10649995650053025,0.95905,9.028950138886769
densenet121,5,0.09139219525754452,0.9648375,0.08348816549777985,0.969,11.285236851374309
densenet121,6,0.07724512577950954,0.97045,0.07799641004800796,0.9708,13.539394764105479
